"x"
"MG1655-lcl-NC-000913.3-cds-NP-415562.1-1019"
"MG1655-lcl-NC-000913.3-cds-NP-415683.1-1140"
"MG1655-lcl-NC-000913.3-cds-NP-418714.1-4205"
"MG1655-lcl-NC-000913.3-cds-NP-415964.1-1436"
"MG1655-lcl-NC-000913.3-cds-NP-417737.1-3214"
"MG1655-lcl-NC-000913.3-cds-YP-588471.1-3608"
"MG1655-lcl-NC-000913.3-cds-NP-415658.1-1115"
"MG1655-lcl-NC-000913.3-cds-NP-416035.1-1503"
"MG1655-lcl-NC-000913.3-cds-NP-418158.1-3652"
"MG1655-lcl-NC-000913.3-cds-NP-416902.1-2383"
"MG1655-lcl-NC-000913.3-cds-NP-417108.4-2598"
"MG1655-lcl-NC-000913.3-cds-NP-416938.1-2420"
"MG1655-lcl-NC-000913.3-cds-NP-414814.1-276"
"MG1655-lcl-NC-000913.3-cds-NP-414613.1-72"
"MG1655-lcl-NC-000913.3-cds-NP-415878.1-1350"
"MG1655-lcl-NC-000913.3-cds-NP-416828.1-2307"
"MG1655-lcl-NC-000913.3-cds-NP-417681.1-3160"
"MG1655-lcl-NC-000913.3-cds-NP-416479.1-1960"
"MG1655-lcl-NC-000913.3-cds-NP-418376.1-3872"
"MG1655-lcl-NC-000913.3-cds-NP-416589.2-2070"
"MG1655-lcl-NC-000913.3-cds-NP-415274.1-728"
"MG1655-lcl-NC-000913.3-cds-NP-417160.1-2642"
"MG1655-lcl-NC-000913.3-cds-b4569-3163"
"MG1655-lcl-NC-000913.3-cds-NP-416016.1-1487"
"MG1655-lcl-NC-000913.3-cds-NP-417168.1-2649"
"MG1655-lcl-NC-000913.3-cds-YP-588474.1-4050"
"MG1655-lcl-NC-000913.3-cds-NP-415151.4-612"
"MG1655-lcl-NC-000913.3-cds-NP-415079.1-536"
"MG1655-lcl-NC-000913.3-cds-NP-415370.1-826"
"MG1655-lcl-NC-000913.3-cds-NP-415508.1-966"
"MG1655-lcl-NC-000913.3-cds-NP-416000.1-1469"
"MG1655-lcl-NC-000913.3-cds-NP-417362.4-2836"
"MG1655-lcl-NC-000913.3-cds-NP-417533.1-3012"
"MG1655-lcl-NC-000913.3-cds-NP-417892.1-3371"
"MG1655-lcl-NC-000913.3-cds-NP-418778.4-4273"
"MG1655-lcl-NC-000913.3-cds-NP-415962.2-1434"
"MG1655-lcl-NC-000913.3-cds-YP-009518814.1-2893"
"MG1655-lcl-NC-000913.3-cds-NP-418175.3-3669"
"MG1655-lcl-NC-000913.3-cds-NP-416649.1-2126"
"MG1655-lcl-NC-000913.3-cds-NP-417622.2-3098"
"MG1655-lcl-NC-000913.3-cds-NP-418615.1-4115"
"MG1655-lcl-NC-000913.3-cds-YP-588442.1-592"
"MG1655-lcl-NC-000913.3-cds-NP-417977.1-3459"
"MG1655-lcl-NC-000913.3-cds-NP-414784.1-245"
"MG1655-lcl-NC-000913.3-cds-NP-417545.1-3024"
"MG1655-lcl-NC-000913.3-cds-NP-416325.1-1806"
"MG1655-lcl-NC-000913.3-cds-YP-588446.1-971"
"MG1655-lcl-NC-000913.3-cds-NP-415805.1-1274"
"MG1655-lcl-NC-000913.3-cds-YP-010051190.1-2332"
"MG1655-lcl-NC-000913.3-cds-YP-588461.1-2153"
"MG1655-lcl-NC-000913.3-cds-YP-026229.1-3496"
"MG1655-lcl-NC-000913.3-cds-NP-416860.4-2337"
"MG1655-lcl-NC-000913.3-cds-NP-418125.1-3616"
"MG1655-lcl-NC-000913.3-cds-NP-416387.1-1871"
"MG1655-lcl-NC-000913.3-cds-NP-415091.1-550"
"MG1655-lcl-NC-000913.3-cds-YP-009518786.1-1530"
"MG1655-lcl-NC-000913.3-cds-YP-588463.1-2343"
"MG1655-lcl-NC-000913.3-cds-NP-417793.2-3270"
"MG1655-lcl-NC-000913.3-cds-YP-026232.1-3520"
"MG1655-lcl-NC-000913.3-cds-NP-418217.1-3711"
"MG1655-lcl-NC-000913.3-cds-NP-418388.1-3883"
"MG1655-lcl-NC-000913.3-cds-NP-417617.1-3093"
"MG1655-lcl-NC-000913.3-cds-NP-417041.1-2527"
"MG1655-lcl-NC-000913.3-cds-NP-415128.1-589"
"MG1655-lcl-NC-000913.3-cds-NP-415677.1-1132"
"MG1655-lcl-NC-000913.3-cds-NP-416145.1-1622"
"MG1655-lcl-NC-000913.3-cds-NP-416273.1-1752"
"MG1655-lcl-NC-000913.3-cds-b4582-1978"
"MG1655-lcl-NC-000913.3-cds-NP-416080.1-1556"
"MG1655-lcl-NC-000913.3-cds-YP-009518806.1-2556"
"MG1655-lcl-NC-000913.3-cds-NP-417994.2-3475"
"MG1655-lcl-NC-000913.3-cds-NP-418665.1-4162"
"MG1655-lcl-NC-000913.3-cds-NP-418051.1-3536"
"MG1655-lcl-NC-000913.3-cds-NP-416432.3-1920"
"MG1655-lcl-NC-000913.3-cds-NP-416979.1-2463"
"MG1655-lcl-NC-000913.3-cds-NP-416900.1-2381"
"MG1655-lcl-NC-000913.3-cds-NP-415937.1-1409"
"MG1655-lcl-NC-000913.3-cds-NP-414689.4-147"
"MG1655-lcl-NC-000913.3-cds-NP-417405.1-2882"
"MG1655-lcl-NC-000913.3-cds-NP-417378.1-2854"
"MG1655-lcl-NC-000913.3-cds-NP-417623.1-3099"
"MG1655-lcl-NC-000913.3-cds-NP-415826.1-1296"
"MG1655-lcl-NC-000913.3-cds-NP-414813.1-274"
"MG1655-lcl-NC-000913.3-cds-NP-414909.2-369"
"MG1655-lcl-NC-000913.3-cds-YP-025310.1-1929"
"MG1655-lcl-NC-000913.3-cds-NP-418308.1-3804"
"MG1655-lcl-NC-000913.3-cds-b4583-4024"
"MG1655-lcl-NC-000913.3-cds-NP-418625.1-4125"
"MG1655-lcl-NC-000913.3-cds-NP-417093.2-2583"
"MG1655-lcl-NC-000913.3-cds-NP-416492.1-1971"
"MG1655-lcl-NC-000913.3-cds-NP-417909.1-3389"
"MG1655-lcl-NC-000913.3-cds-NP-418514.1-4011"
