"","SRR25445875","SRR25445876","SRR25445877","SRR25445878","SRR25445879","SRR25445880"
"MG1655-lcl-NC-000913.3-cds-NP-414542.1-1",0,0,0,0,0,0
"MG1655-lcl-NC-000913.3-cds-NP-414543.1-2",0.688585740517283,1.0018247702185,1.00584016995819,1.31241603595012,1.92665847884052,1.26932116143661
"MG1655-lcl-NC-000913.3-cds-NP-414544.1-3",0.821545487377688,0.358241870071422,0.21822939075031,0.280399817244908,0.60871900069738,0.00476628173351919
"MG1655-lcl-NC-000913.3-cds-NP-414545.1-4",1.04388818523578,1.41667429611918,0.549055713605973,0.790605258817263,1.12949975416365,0.570529175161221
"MG1655-lcl-NC-000913.3-cds-NP-414546.1-5",0,0,0.138920817947536,0.0860907730498448,0,0.309763019816813
"MG1655-lcl-NC-000913.3-cds-NP-414547.1-6",0.249289689891916,0.621448848126377,0.912415687984609,0.969367198680875,0.371065149101553,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414548.1-7",0.249289689891916,0.430817380430484,0.250383365677266,0.134398377659365,0.821713150278961,0.0118733779442293
"MG1655-lcl-NC-000913.3-cds-NP-414549.1-8",2.71837565729641,2.91494901372226,2.65297466030262,2.78130347697268,2.37863324467226,1.87092599323083
"MG1655-lcl-NC-000913.3-cds-NP-414550.1-9",0,0.430817380430484,0.138920817947536,0.383565274932,0.00645905908383046,1.9712856362181
"MG1655-lcl-NC-000913.3-cds-NP-414551.1-10",0.249289689891916,0,0,0.346114306431275,0.416943715589084,0.819104862616887
"MG1655-lcl-NC-000913.3-cds-NP-414552.1-11",0,0,0,0,0,0
"MG1655-lcl-NC-000913.3-cds-YP-009518733.1-12",0,0.102288422666795,0,0.0694553570440197,0,0
"MG1655-lcl-NC-000913.3-cds-NP-414554.1-13",0.132392981761919,0,0,0,0,0
"MG1655-lcl-NC-000913.3-cds-NP-414555.1-14",3.74560466918188,3.72300528990138,3.64860054071184,3.63724460337854,5.29105896834741,5.18445235171919
"MG1655-lcl-NC-000913.3-cds-NP-414556.1-15",1.04388818523578,1.7090157575218,0.960218549158625,1.08516718055707,2.95631856543273,2.77374864703315
"MG1655-lcl-NC-000913.3-cds-NP-414557.1-16",1.09252573314569,0.875526177257417,0.890413701511063,0.830574100144715,1.59863940749656,2.60398257729458
"MG1655-lcl-NC-000913.3-cds-NP-414559.1-17",0,0,0,0.0353305631833968,0.00439992149229709,0.0512198232446884
"MG1655-lcl-NC-000913.3-cds-YP-025292.1-18",0,0.4984802160794,0,0,0.440103074047691,0
"MG1655-lcl-NC-000913.3-cds-NP-414560.1-19",0.881934630630464,0.621448848126377,0.484417611971675,0.407775399927666,3.11079874264198,3.2005770193353
"MG1655-lcl-NC-000913.3-cds-NP-414561.1-20",0.535196747074363,0.279984071370135,0.0655464421059182,0.210061286741596,0.865381494843769,0.640905964487698
"MG1655-lcl-NC-000913.3-cds-NP-414562.1-21",0.733697915383056,0.852742013098073,0,0,0.719887757622036,0.0048732621842514
"MG1655-lcl-NC-000913.3-cds-NP-414563.1-22",0.132392981761919,0.319878310834555,0,0,0.00538544226337598,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414564.1-23",0.249289689891916,0.102288422666795,0.127059563078248,0.552287927071344,0.50544094719001,0.717203515453324
"MG1655-lcl-NC-000913.3-cds-NP-414565.1-24",0,0,0,0,0,0
"MG1655-lcl-NC-000913.3-cds-NP-414566.1-25",0.881934630630464,0.919422132722718,1.03993840632044,1.80642434465903,0.810731537591144,1.02061476131301
"MG1655-lcl-NC-000913.3-cds-NP-414567.1-26",2.52301329822234,2.6336390683422,2.45173310851614,2.4314238333608,2.12308980528083,2.71966995189669
"MG1655-lcl-NC-000913.3-cds-NP-414568.1-27",0.44866977770626,0.358241870071422,0.602377672767124,0.996284170252684,0.00215765850980184,0.340820607580446
"MG1655-lcl-NC-000913.3-cds-NP-414569.1-28",0.44866977770626,0.4984802160794,0.0655464421059182,0.687610801171618,0,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414570.1-29",0.535196747074363,0.4984802160794,0.281535589176582,0.876519028227337,0.434581714444594,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414571.1-30",1.68422290373629,1.9033387608327,1.84871361795776,1.91808071432548,2.22649788057728,0.74025623284508
"MG1655-lcl-NC-000913.3-cds-NP-414572.1-31",0.992763544883208,1.0018247702185,0.680816200986068,0.740433426620447,0.838663258460142,1.42158894140512
"MG1655-lcl-NC-000913.3-cds-NP-414573.1-32",0.249289689891916,0.430817380430484,0.260875639478174,0.0860907730498448,1.30628341151459,0.798893883385274
"MG1655-lcl-NC-000913.3-cds-NP-414574.1-33",1.09252573314569,1.07795111612231,0.450461115087208,0.407775399927666,1.30012219956259,1.37799147290114
"MG1655-lcl-NC-000913.3-cds-NP-414576.4-34",0.35394057747873,0.358241870071422,0.0655464421059182,0.0860907730498448,0,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414577.2-35",0.132392981761919,0.102288422666795,0,0,0,0
"MG1655-lcl-NC-000913.3-cds-NP-414578.2-36",0,0.195078033017571,0,0,0,0.00238598054426708
"MG1655-lcl-NC-000913.3-cds-NP-414579.4-37",0.132392981761919,0.430817380430484,0,0.0353305631833968,0,0.814883733237132
"MG1655-lcl-NC-000913.3-cds-NP-414580.1-38",0.132392981761919,0.279984071370135,0.673934292378617,0.180479500621769,0.726637096024815,1.23726090524244
